element,position,is_captain,is_vice_captain,multiplier,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,total_points,in_dreamteam,id_x,total_assists,total_bonus,total_bps,total_clean_sheets,total_creativity,total_goals_conceded,total_goals_scored,total_ict_index,total_influence,total_minutes,total_own_goals,total_penalties_missed,total_penalties_saved,total_red_cards,total_saves,total_threat,total_yellow_cards,added,chance_of_playing_next_round,chance_of_playing_this_round,code,draft_rank,dreamteam_count,ep_next,ep_this,event_points,first_name,form,total_in_dreamteam,news,news_added,news_return,news_updated,points_per_game,second_name,squad_number,status,total_total_points,web_name,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,element_type,team,element_id,element_count,singular_name,singular_name_short,plural_name,plural_name_short,entry_id,entry_name,id_y,joined_time,player_first_name,player_last_name,short_name,waiver_pick,game_week
377,11,False,False,1,84,0,0,0,1,0,0,0,0,0,0,0,3,4.4,13.1,21.0,3.9,2,False,377,7,16,443,7,488.6,51,9,203.4,581.8,2662,0,0,0,0,0,964.0,1,2020-08-13T09:27:17.130745Z,100.0,0.0,200439,104,0,,,0,Che,4.6,False,,2021-05-18T21:30:20.645444Z,,,3.8,Adams,,a,137,Adams,81,10,62,5,21,13,33,10,4,16,4,92,Forward,FWD,Forwards,FWD,164273,Boom Xhaka Laka,164651,2020-09-01T18:27:43.454935Z,Jack,Chandler,JC,,1
291,12,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,291,0,4,416,9,0.0,32,0,46.4,464.2,2295,0,0,0,0,59,0.0,0,2020-08-13T09:27:17.028723Z,100.0,100.0,51940,159,0,,,0,David,0.8,False,,2021-03-04T13:00:26.233611Z,,,3.5,de Gea,,a,91,de Gea,157,20,703,77,702,75,300,20,1,13,1,80,Goalkeeper,GKP,Goalkeepers,GKP,164273,Boom Xhaka Laka,164651,2020-09-01T18:27:43.454935Z,Jack,Chandler,JC,,1
306,13,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,306,11,9,535,12,682.1,39,11,260.3,793.2,2917,0,0,0,0,0,1127.0,4,2020-08-13T09:27:17.046208Z,100.0,100.0,176297,10,0,,,0,Marcus,2.8,False,,2021-04-23T13:30:19.821497Z,,,4.7,Rashford,,a,174,Rashford,23,8,31,25,14,5,12,8,3,13,3,295,Midfielder,MID,Midfielders,MID,164273,Boom Xhaka Laka,164651,2020-09-01T18:27:43.454935Z,Jack,Chandler,JC,,1
296,14,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,296,6,11,355,5,376.0,26,3,122.5,451.4,1892,0,0,0,0,0,401.0,3,2020-08-13T09:27:17.034596Z,100.0,100.0,74208,27,0,,,0,Paul,1.8,False,,2021-04-09T09:00:29.773323Z,,,3.5,Pogba,,a,92,Pogba,163,62,97,69,93,54,97,58,3,13,3,295,Midfielder,MID,Midfielders,MID,164273,Boom Xhaka Laka,164651,2020-09-01T18:27:43.454935Z,Jack,Chandler,JC,,1
275,15,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,275,8,15,505,11,665.8,22,9,213.6,589.6,1945,0,0,0,0,0,882.0,0,2020-08-13T09:27:17.009664Z,,,103025,19,0,,,6,Riyad,2.8,False,,,,,5.4,Mahrez,,a,145,Mahrez,67,21,29,23,30,16,25,16,3,12,3,295,Midfielder,MID,Midfielders,MID,164273,Boom Xhaka Laka,164651,2020-09-01T18:27:43.454935Z,Jack,Chandler,JC,,1
96,1,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,96,0,20,652,11,20.0,37,0,86.8,846.6,2880,0,0,0,0,114,2.0,1,2020-08-13T09:27:16.796247Z,100.0,75.0,98747,144,0,,,0,Nick,1.8,False,,2021-05-13T16:00:25.454756Z,,,4.5,Pope,,a,144,Pope,14,7,391,3,449,6,184,6,1,4,1,80,Goalkeeper,GKP,Goalkeepers,GKP,165413,Inter Yernan,165793,2020-09-01T19:53:58.181877Z,Andrew,Wallace,AW,,1
351,2,False,False,1,90,0,0,0,2,0,0,0,0,0,0,0,13,1.6,15.7,26.0,4.3,1,False,351,2,2,347,4,294.9,51,0,86.3,339.0,2787,0,0,0,0,0,228.0,7,2020-08-13T09:27:17.099853Z,100.0,25.0,82691,162,0,,,5,George,2.8,False,,2021-05-19T21:00:29.414486Z,,,2.0,Baldock,,a,63,Baldock,212,83,127,26,167,30,171,45,2,15,2,246,Defender,DEF,Defenders,DEF,165413,Inter Yernan,165793,2020-09-01T19:53:58.181877Z,Andrew,Wallace,AW,,1
389,3,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,389,3,4,370,6,267.6,22,2,87.4,412.2,1605,0,0,0,0,0,194.0,0,2020-08-13T09:27:17.144931Z,100.0,100.0,80226,167,0,,,0,Serge,0.2,False,,2021-05-16T15:30:25.276092Z,,,4.2,Aurier,,a,80,Aurier,180,71,155,34,195,48,181,48,2,17,2,246,Defender,DEF,Defenders,DEF,165413,Inter Yernan,165793,2020-09-01T19:53:58.181877Z,Andrew,Wallace,AW,,1
162,4,False,False,1,90,0,0,1,0,0,0,0,0,0,0,0,27,23.2,0.4,1.0,2.5,6,False,162,0,7,399,6,23.5,22,2,72.3,496.2,1936,0,0,0,0,0,200.0,2,2020-08-13T09:27:16.875419Z,100.0,100.0,164511,192,0,,,0,Yerry,2.8,False,,2021-05-12T13:00:21.419437Z,,,3.3,Mina,,a,79,Mina,134,51,383,140,189,43,228,71,2,7,2,246,Defender,DEF,Defenders,DEF,165413,Inter Yernan,165793,2020-09-01T19:53:58.181877Z,Andrew,Wallace,AW,,1
62,5,False,False,1,90,0,0,0,3,0,0,0,0,0,0,0,16,20.4,1.2,7.0,2.9,1,False,62,0,17,626,11,135.5,40,5,127.6,696.4,2932,1,0,0,2,0,442.0,5,2020-08-13T09:27:16.755613Z,100.0,100.0,83299,263,0,,,1,Lewis,1.0,False,,2021-05-09T15:30:25.704864Z,,,3.9,Dunk,,a,130,Dunk,42,9,230,58,83,3,87,15,2,3,2,246,Defender,DEF,Defenders,DEF,165413,Inter Yernan,165793,2020-09-01T19:53:58.181877Z,Andrew,Wallace,AW,,1
